课程代码,课程名称,学分,建议修读学期,课程性质
601112101,思想道德与法治,3,一秋/一春,通识必修
601113101,中国近现代史纲要,3,一秋/一春,通识必修
601114101,马克思主义基本原理,3,二秋/二春,通识必修
601115101,毛泽东思想和中国特色社会主义理论体系概论,3,二秋/二春,通识必修
601116101,习近平新时代中国特色社会主义思想概论,3,二秋/二春,通识必修
601117101,形势与政策,2,一二三年级/持续开设,通识必修
061001001,大学体育Ⅰ,1,一秋,通识必修
061001002,大学体育Ⅱ,1,一春,通识必修
061001003,大学体育Ⅲ,1,二秋,通识必修
061001004,大学体育Ⅳ,1,二春,通识必修
061003001,国家学生体质健康标准测试,0.0,四春,通识必修
761002311,军事训练,2,一秋,通识必修
761002312,国防教育,2,二秋,通识必修
601118001,国家安全教育,1,一秋,通识必修
104000001,大学生心理健康教育,1,一春,通识必修
761001401,大学生职业发展与就业指导,1,二秋/三秋,通识必修
224414001,地理信息科学导论,0.5,一秋,专业基础
024902061,高等数学,5,一秋,专业基础
024092062,高等数学,4,一春,专业基础
22405D101,C程序设计,2.5,一春,专业基础
225D20101,自然地理学,3,一秋,专业核心
224415101,地理信息系统原理,2.5,一秋,专业核心
225D19101,数字测图原理与方法,3,一春,专业核心
02412D101,地图学,3,一春,专业核心
025559001,遥感概论,3,一春,专业核心
224416101,GIS空间分析,2.5,二秋,专业核心
224417101,遥感地学分析,3,三秋,专业核心
024906111,大学物理C,3,一春,专业核心
024903043,线性代数,3,二秋,专业核心
225D22001,专业英语,3,二秋,专业核心
225703101,数据结构,3,二秋,专业核心
225D24101,数据库原理与应用,2,二秋,专业核心
024906001,概率与数理统计,3,二春,专业核心
224104101,面向对象程序设计,2.5,二春,专业核心
02519D101,计算机图形学,2.5,二春,专业核心
225D23001,科技写作,2,二春,专业核心
225639102,开源GIS,2.5,二春,专业核心
225640101,地理信息服务,2.5,三秋,专业核心
024D14001,地理信息科学前沿,2,三春,专业核心
225641102,GIS应用开发,3,三春,专业核心
225642101,遥感数字图像处理,3,二秋,专业核心
225695101,激光雷达遥感导论,3,二秋,专业核心
225643001,城市生态遥感,2,三秋,专业核心
225644101,智慧生态与遥感产品真实性检验,2,三秋,专业核心
225694102,水环境遥感,2,三春,专业核心
025D11101,遥感程序设计,3,三春,专业核心
225645102,卫星导航定位技术应用,2.5,二春,专业核心
225646102,无人机低空遥感测绘,3,二春,专业核心
225647102,测绘项目管理与案例分析,2.5,三春,专业核心
225D29101,气象学与气候学,2.5,二秋,专业核心
02510D101,地貌与第四纪地质,2.5,二春,专业核心
225696002,人文地理学,3,二春,专业核心
024D16001,中国地理,3,三秋,专业核心
225648001,经济地理学,3,三秋,专业核心
225649001,地理学理论与方法,2,三秋,专业核心
02529D101,城市规划,2.5,三秋,专业核心
02537D101,地理教学论,2.5,三春,专业核心
025D15101,生态规划,2.5,三春,专业核心
225650002,全球变化与环境演变,2,三春,专业核心
225651102,Python程序设计,2,一春,专业核心
225652102,遥感云平台基础与应用,2,二春,专业核心
225621102,神经网络与深度学习,2.5,三秋,专业核心
225653101,空间大数据挖掘,3,三秋,专业核心
225654102,数字摄影测量与计算机视觉,2.5,三春,专业核心
225655102,遥感影像智能信息提取,2.5,三春,专业核心
025D20201,自然地理野外实训,1,一秋,专业实践
224420302,科研实务（科学研究技能训练）,2,二秋-三春,专业实践
224418302,GIS应用大赛实训,1,二春,专业实践
224449302,专业见习,1,二春,专业实践
224419301,遥感与GIS应用综合实践（创新创业教育）,2,三春,专业实践
224450301,专业实习,6,四秋,专业实践
024777301,毕业论文,6,四春,专业实践
