课程代码,课程名称,学分,建议修读学期,课程性质
601112101,思想道德与法治,3,一秋/一春,通识必修
601113101,中国近现代史纲要,3,一秋/一春,通识必修
601114101,马克思主义基本原理,3,二秋/二春,通识必修
601115101,毛泽东思想和中国特色社会主义理论体系概论,3,二秋/二春,通识必修
601116101,习近平新时代中国特色社会主义思想概论,3,二秋/二春,通识必修
601117101,形势与政策,2,一二三年级/持续开设,通识必修
061001001,大学体育Ⅰ,1,一秋,通识必修
061001002,大学体育Ⅱ,1,一春,通识必修
061001003,大学体育Ⅲ,1,二秋,通识必修
061001004,大学体育Ⅳ,1,二春,通识必修
061003001,国家学生体质健康标准测试,0.0,四春,通识必修
761002311,军事训练,2,一秋,通识必修
761002312,国防教育,2,二秋,通识必修
601118001,国家安全教育,1,一秋,通识必修
104000001,大学生心理健康教育,1,一春,通识必修
761001401,大学生职业发展与就业指导,1,二秋/三秋,通识必修
024902061,高等数学,5,一秋,通识选修
024902062,高等数学,4,一春,通识选修
024903063,线性代数,3,一秋,通识选修
2240011A1,计算机科学导论,2,一秋,通识选修
2240001A1,程序设计基础,4,一秋,通识选修
2241681A1,数据结构,4,二秋,专业核心
2241421B1,计算机组成原理,3.5,二秋,专业核心
2241241A1,操作系统,3.5,二春,专业核心
2241411A1,计算机网络,3,二春,专业核心
2241711A1,数据库原理,3.5,二春,专业核心
2241721A1,算法设计与分析,3,二春,专业核心
2251631A1,软件工程,3,三秋,专业核心
2241641A1,软件架构分析与设计,2.5,三春,专业核心
024A11001,大学物理B,4,一春,专业核心
024906001,概率与数理统计,3,二春,专业核心
224004001,离散数学,3,一春,专业核心
225661001,人工智能引论,2.5,二春,专业核心
2251931A1,云计算与大数据,2.5,三秋,专业核心
225699101,深度学习方法与实践,3,三春,专业核心
225393101,数字孪生技术与应用,2.5,二秋,专业核心
225676102,大规模数据挖掘,2.5,二春,专业核心
2251951A1,Java程序设计,3,一春,专业核心
2251211A1,Web程序设计,3,二春,专业核心
225677101,智能信息管理与应用,2.5,三春,专业核心
2251911A1,移动应用开发（Android）,3,三秋,专业核心
225700102,智能软件测试技术,2,三春,专业核心
225681101,多媒体应用开发,2.5,二秋,专业核心
225693101,三维动画设计与制作,3,三秋,专业核心
2251611A1,人机交互与虚拟现实,2.5,三春,专业核心
225620102,UI 与交互设计,3,二春,专业核心
225197101,数字图像处理,3,二春,专业核心
225396001,智能媒体导论,2,一秋,专业核心
225394101,区块链技术与应用,2.5,二春,专业核心
225395101,前沿人工智能技术与应用,2,三秋,专业核心
2251941x1,医学人工智能原理与应用,2,三秋/三春,专业核心
225702101,网络编程,2.5,三秋,专业核心
2251791A1,网络安全,2,三秋,专业核心
225673102,数字逻辑,3.5,二秋,专业核心
225674001,高级数据结构,2,三秋,专业核心
2251121A1,C++程序设计,3,一春,专业核心
225671002,应用密码学,3,二春,专业核心
225672101,安全协议及应用,2.5,三秋,专业核心
2251951x1,计算机图形学,3,二春,专业核心
2251151A1,Linux 程序设计,1.5,三秋,专业核心
2251111A1,.NET 程序设计,3,二秋,专业核心
2251141A1,JSP/Servlet 程序设计,3,三秋,专业核心
2251701A1,数据库应用技术,2.5,三春,专业核心
225018001,职业规划与素养,2,三春,专业核心
2251821A1,网络化软件项目管理,2,三春,专业实践
224425302,前端交互开发与实践,2,三春,专业实践
224448302,网络工程,1.5,三秋,专业实践
224443302,ACM编程实践,2,一春,专业实践
224426302,科研实务,2,二春,专业实践
224427302,AI时代创新创业思维与实践,2,三春,专业实践
224196301,专业见习,2,四春或秋,专业实践
224092301,专业实习,8,四春或秋,专业实践
224436302,毕业论文（设计）,8,四春或秋,专业实践
